<xml><!--Date,Open,High,Low,Close,Volume,Adj Close
9/19/2011,119.53,120.93,118.72,120.31,241517000,116.44
9/16/2011,121.29,121.97,120.32,121.52,284528300,117.61
9/15/2011,120.65,121.47,119.4,121.43,326777200,116.92
9/14/2011,118.34,120.8,116.72,119.37,319389500,114.94
9/13/2011,117.05,118.18,116.22,117.74,272514700,113.37
9/12/2011,114.47,116.76,114.05,116.67,305793500,112.34
9/9/2011,117.68,119.06,115.28,115.92,380195100,111.61
9/8/2011,119.57,120.94,118.77,119.04,250568200,114.62
9/7/2011,118.76,120.34,118.36,120.29,209803200,115.82
9/6/2011,114.39,117.16,114.38,116.99,285130500,112.64
9/2/2011,118.42,120.87,117.43,117.85,255517200,113.47
9/1/2011,122.29,123.4,120.78,120.94,254585900,116.45
8/31/2011,122.46,123.51,121.3,122.22,301828400,117.68
8/30/2011,120.83,122.43,119.26,121.68,241315700,117.16
8/29/2011,119.56,121.43,118.06,121.36,190977200,116.85
8/26/2011,115.69,118.51,113.85,117.97,314495900,113.59
8/25/2011,118.73,119.4,115.87,116.28,312365400,111.96
8/24/2011,116.19,118.24,115.92,118.08,246869700,113.69
8/23/2011,113.15,116.57,112.58,116.44,331136600,112.11
8/22/2011,115.17,115.23,112.41,112.73,275090600,108.54
8/19/2011,112.96,115.88,112.5,112.64,428281300,108.46
8/18/2011,116.5,119.71,113.39,114.51,512956300,110.26
8/17/2011,120.25,121.2,118.72,119.67,238201100,115.22
8/16/2011,119.47,120.69,118.31,119.59,294095200,115.15
8/15/2011,119.19,120.74,119,120.62,258810600,116.14
8/12/2011,118.4,119.21,117.28,118.12,313731600,113.73
8/11/2011,113.26,118.92,112.32,117.33,487979700,112.97
8/10/2011,115.26,116.28,111.95,112.29,662607400,108.12
8/9/2011,114.07,117.64,110.27,117.48,717828700,113.12
8/8/2011,116.91,120.12,112.02,112.26,702263900,108.09
8/5/2011,121.76,122.07,116.86,120.08,655619200,115.62
8/4/2011,124.42,124.62,120.06,120.26,520721800,115.79
8/3/2011,125.66,126.31,123.53,126.17,370830800,121.48
8/2/2011,127.81,128.5,125.49,125.49,346653800,120.83
8/1/2011,130.84,130.96,127.53,128.78,325790900,124
7/29/2011,128.91,130.55,127.97,129.33,307038400,124.53
7/28/2011,130.6,131.77,130.01,130.22,207939900,125.38
7/27/2011,132.59,132.63,130.43,130.6,249020100,125.75
7/26/2011,133.74,133.96,133.03,133.33,131278200,128.38
7/25/2011,133.3,134.49,133.16,133.83,136653800,128.86
7/22/2011,134.52,134.72,133.76,134.58,126019400,129.58
7/21/2011,133.4,134.82,132.67,134.49,245246300,129.49
7/20/2011,133.07,133.15,132.42,132.65,137145400,127.72
7/19/2011,131.34,132.89,131.31,132.73,166554900,127.8
7/18/2011,131.08,131.28,129.63,130.61,196872100,125.76
7/15/2011,131.66,131.87,130.77,131.69,220012800,126.8
7/14/2011,132.17,132.78,130.68,130.93,226111800,126.07
7/13/2011,132.09,133.22,131.52,131.84,204062600,126.94
7/12/2011,131.69,132.78,131.36,131.4,214675700,126.52
7/11/2011,132.75,133.18,131.66,131.97,195918600,127.07
7/8/2011,133.83,135.36,133.39,134.4,194171500,129.41
7/7/2011,135.16,135.7,134.88,135.36,170464200,130.33
7/6/2011,133.49,134.14,133.11,133.97,143331600,128.99
7/5/2011,133.78,134.08,133.39,133.81,165936000,128.84
7/1/2011,132.09,134.1,131.78,133.92,202385700,128.95
6/30/2011,131.14,132.18,130.71,131.97,223496600,127.07
6/29/2011,130.2,130.93,129.63,130.72,244295500,125.86
6/28/2011,128.45,129.63,128.27,129.61,165556300,124.8
6/27/2011,126.89,128.43,126.64,127.94,168904700,123.19
6/24/2011,128.27,128.37,126.62,126.81,226129300,122.1
6/23/2011,127.16,128.64,126.19,128.3,334286500,123.53
6/22/2011,129.05,129.81,128.59,128.67,176703000,123.89
6/21/2011,128.36,129.7,127.75,129.45,193157300,124.64
6/20/2011,126.62,127.97,126.58,127.7,159479000,122.96
6/17/2011,127.93,127.94,126.62,127.05,233284900,122.33
6/16/2011,127.06,127.97,126.32,127.3,308032800,121.97
6/15/2011,128.24,129.3,126.68,127.02,300958000,121.7
6/14/2011,128.87,129.77,128.82,129.32,160570400,123.9
6/13/2011,127.89,128.24,127.05,127.7,207599800,122.35
6/10/2011,128.85,128.93,127.26,127.6,238629400,122.25
6/9/2011,128.77,129.93,128.46,129.4,160964400,123.98
6/8/2011,128.76,129.19,128.18,128.42,198696400,123.04
6/7/2011,129.7,130.07,128.85,128.96,161660500,123.56
6/6/2011,130.09,130.36,128.87,129.04,179951200,123.63
6/3/2011,130.15,131.42,130.08,130.42,234690200,124.96
6/2/2011,131.96,132.24,130.96,131.73,200466800,126.21
6/1/2011,134.51,134.92,131.76,131.87,233094300,126.35
5/31/2011,134.77,134.92,133.84,134.9,164731200,129.25
5/27/2011,133.37,133.87,132.96,133.51,120921900,127.92
5/26/2011,132.03,133.24,131.78,133,164850000,127.43
5/25/2011,132.39,132.94,131.38,132.39,151050100,126.84
5/24/2011,132.44,132.73,131.7,131.95,147199600,126.42
5/23/2011,131.98,132.72,131.59,132.06,168700000,126.53
5/20/2011,134.33,134.68,133.36,133.61,182594900,128.01
5/19/2011,134.8,135.03,133.94,134.68,119489500,129.04
5/18/2011,133.24,134.5,132.95,134.36,135217900,128.73
5/17/2011,132.69,133.35,132.12,133.17,192686200,127.59
5/16/2011,133.56,134.61,132.97,133.19,141675400,127.61
5/13/2011,135.15,135.34,133.56,134.04,157444900,128.42
5/12/2011,134.08,135.36,133.39,135.08,171550700,129.42
5/11/2011,135.67,135.69,133.82,134.44,193564200,128.81
5/10/2011,135.17,136.11,135,135.87,114806900,130.18
5/9/2011,134.19,135.11,133.98,134.72,114104500,129.08
5/6/2011,134.94,135.63,133.68,134.2,222787200,128.58
5/5/2011,134.08,134.95,133.02,133.61,226900000,128.01
5/4/2011,135.67,135.73,134.23,134.83,182678500,129.18
5/3/2011,135.96,136.19,135.04,135.73,138375000,130.04
5/2/2011,137.07,137.18,135.95,136.22,126278700,130.51
4/29/2011,136.16,136.57,135.98,136.43,115094100,130.71
4/28/2011,135.43,136.29,135.41,136.11,124791100,130.41
4/27/2011,135.05,135.87,134.5,135.67,143031000,129.99
4/26/2011,134.05,135.06,133.91,134.79,146600000,129.14
4/25/2011,133.68,133.86,133.2,133.64,65757100,128.04
4/21/2011,133.79,133.84,133.1,133.78,135935400,128.18
