Date,Open,High,Low,Close,Volume,Adj Close
2011-12-29,89.10,89.44,88.86,89.38,1558600,82.28
2011-12-28,89.41,89.49,88.76,88.85,1899200,81.79
2011-12-27,89.03,89.30,88.80,89.27,2282000,82.18
2011-12-23,88.99,89.51,88.87,89.45,1255200,81.85
2011-12-22,88.63,89.16,88.46,89.04,1885800,81.48
2011-12-21,88.21,88.70,88.10,88.70,1792300,81.16
2011-12-20,87.94,88.52,87.86,88.45,1957100,80.94
2011-12-19,87.54,87.95,87.35,87.36,2268000,79.94
2011-12-16,87.25,87.51,87.00,87.47,1383900,80.04
2011-12-15,87.34,87.35,86.93,87.06,1562200,79.66
2011-12-14,86.93,86.98,86.47,86.75,1317700,79.38
2011-12-13,87.51,87.71,86.87,86.90,1742400,79.52
2011-12-12,87.38,87.38,87.05,87.23,1772000,79.82
2011-12-09,87.10,87.75,87.00,87.70,1355900,80.25
2011-12-08,87.39,87.52,86.94,86.95,1994200,79.56
2011-12-07,87.58,87.68,87.19,87.52,1740600,80.09
2011-12-06,87.37,87.86,87.13,87.80,2355600,80.34
2011-12-05,87.44,87.64,87.12,87.41,2719200,79.98
2011-12-02,86.69,87.00,86.43,86.92,2664700,79.54
2011-12-01,86.00,86.52,85.84,86.43,2442000,79.09
2011-11-30,86.30,86.68,86.07,86.60,2944100,78.74
2011-11-29,84.92,85.15,84.62,85.15,2010300,77.42
2011-11-28,84.53,84.92,84.02,84.60,2455000,76.92
2011-11-25,82.99,83.69,82.53,82.75,1476200,75.24
2011-11-23,84.01,84.20,82.63,82.75,4483000,75.24
2011-11-22,84.90,85.14,84.19,84.27,4123400,76.62
2011-11-21,85.79,85.92,84.82,84.92,3219000,77.21
2011-11-18,86.28,86.31,85.79,85.89,2226100,78.10
2011-11-17,86.51,86.77,85.53,85.95,2131700,78.15
2011-11-16,86.97,87.12,86.35,86.37,1788500,78.53
2011-11-15,87.31,87.40,86.90,87.22,1450000,79.30
2011-11-14,87.88,87.88,87.00,87.45,1603100,79.51
2011-11-11,87.40,88.11,87.33,88.04,1270200,80.05
2011-11-10,87.57,87.71,86.87,86.89,2487700,79.00
2011-11-09,87.71,87.97,86.80,86.80,2151500,78.92
2011-11-08,88.75,88.82,88.33,88.68,1823800,80.63
2011-11-07,88.73,88.79,88.02,88.48,1756000,80.45
2011-11-04,88.38,88.86,88.07,88.78,3759500,80.72
2011-11-03,88.69,88.99,88.12,88.87,1409900,80.80
2011-11-02,87.63,88.18,87.46,88.00,1812500,80.01
2011-11-01,87.53,88.12,86.75,87.17,3132800,79.26
2011-10-31,89.66,89.67,89.20,89.28,2972600,80.70
2011-10-28,90.16,90.20,89.84,90.12,2820700,81.46
2011-10-27,90.74,91.42,90.00,90.39,5132100,81.70
2011-10-26,89.50,89.50,88.45,89.08,2839500,80.52
2011-10-25,89.41,89.83,88.66,88.70,4506500,80.18
2011-10-24,88.00,90.48,87.85,90.30,5630300,81.62
2011-10-21,87.45,87.94,87.25,87.92,2405600,79.47
2011-10-20,86.40,86.88,86.20,86.87,1759800,78.52
2011-10-19,86.55,87.22,86.06,86.11,3574500,77.83
2011-10-18,85.92,86.58,85.43,86.39,2890000,78.09
2011-10-17,86.02,86.07,85.73,85.93,1904100,77.67
2011-10-14,86.31,86.46,86.00,86.43,2760400,78.12
